player_id,player_name,team_id,team_name,age,games_played,runs,doubles,triples,home_runs,strikeouts,walks,hits,batting_average,at_bats,obp,slg,ops,stolen_bases,plate_appearances,total_bases,rbi
690291,Jace Jung,116,Detroit Tigers,24,21,8,0,0,0,16,7,5,0.106,47,0.236,0.106,0.342,0,55,5,3
690924,Braxton Fulford,115,Colorado Rockies,26,38,11,5,2,1,36,7,23,0.213,108,0.267,0.324,0.591,1,120,35,16
690953,Mick Abel,143,Philadelphia Phillies,23,7,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0
690976,Alex Freeland,119,Los Angeles Dodgers,23,29,10,2,1,2,35,11,16,0.19,84,0.292,0.31,0.602,1,97,26,6
690984,Petey Halpin,114,Cleveland Guardians,23,6,5,0,0,0,2,2,2,0.333,6,0.5,0.333,0.833,0,8,2,0
690987,Robert Hassell III,120,Washington Nationals,23,70,22,9,0,3,62,8,44,0.223,197,0.257,0.315,0.572,4,206,62,18
690993,Colt Keith,116,Detroit Tigers,23,137,65,22,2,13,102,48,106,0.256,414,0.333,0.413,0.746,1,468,171,45
691011,Drew Romo,115,Colorado Rockies,23,3,0,0,0,0,3,0,0,0.0,3,0.0,0.0,0.0,0,3,0,0
691016,Tyler Soderstrom,133,Athletics,23,158,75,34,1,25,141,55,155,0.276,561,0.346,0.474,0.82,8,624,266,93
691019,Kyle Teel,145,Chicago White Sox,23,78,38,11,0,8,77,37,69,0.273,253,0.375,0.411,0.786,3,297,104,35
691023,Jordan Walker,138,St. Louis Cardinals,23,111,40,13,1,6,126,29,78,0.215,363,0.278,0.306,0.584,10,396,111,41
691026,Masyn Winn,138,St. Louis Cardinals,23,129,72,27,0,9,102,34,124,0.253,491,0.31,0.363,0.673,9,537,178,51
691176,Jasson Domínguez,147,New York Yankees,22,123,58,18,1,10,115,41,98,0.257,381,0.331,0.388,0.719,23,429,148,47
691182,Adael Amador,115,Colorado Rockies,22,41,5,7,0,1,27,11,20,0.177,113,0.256,0.265,0.521,1,128,30,10
691185,Maximo Acosta,146,Miami Marlins,22,19,7,1,0,3,17,6,11,0.204,54,0.295,0.389,0.684,1,61,21,5
691373,Jhostynxon Garcia,111,Boston Red Sox,22,5,0,1,0,0,5,2,1,0.143,7,0.333,0.286,0.619,0,9,2,0
691406,Junior Caminero,139,Tampa Bay Rays,21,154,93,28,0,45,125,41,159,0.264,602,0.311,0.535,0.846,7,653,322,110
691594,Javier Sanoja,146,Miami Marlins,22,120,40,22,4,6,41,19,76,0.243,313,0.287,0.396,0.683,6,342,124,38
691718,Pete Crow-Armstrong,112,Chicago Cubs,23,157,91,37,4,31,155,29,146,0.247,591,0.287,0.481,0.768,35,647,284,95
691720,Kyle Karros,115,Colorado Rockies,22,43,20,4,0,1,41,15,31,0.226,137,0.308,0.277,0.585,0,156,38,9
691723,Coby Mayo,110,Baltimore Orioles,23,85,30,12,0,11,84,27,57,0.217,263,0.299,0.388,0.687,3,294,102,28
691728,Zac Veen,115,Colorado Rockies,23,12,1,1,0,1,14,2,4,0.118,34,0.189,0.235,0.424,1,37,8,2
691777,Max Muncy,133,Athletics,22,63,17,7,0,9,68,10,44,0.214,206,0.259,0.379,0.638,1,220,78,23
691781,Brady House,120,Washington Nationals,22,73,26,11,0,4,78,8,61,0.234,261,0.252,0.322,0.574,5,274,84,29
691783,Jordan Lawlar,109,Arizona Diamondbacks,22,28,9,7,0,0,26,6,12,0.182,66,0.257,0.288,0.545,2,74,19,5
691785,Marcelo Mayer,111,Boston Red Sox,22,44,20,8,1,4,41,8,29,0.228,127,0.272,0.402,0.674,0,136,51,10
691907,Tsung-Che Cheng,134,Pittsburgh Pirates,23,3,0,0,0,0,3,0,0,0.0,7,0.0,0.0,0.0,0,7,0,0
692216,C.J. Kayfus,114,Cleveland Guardians,23,44,16,10,1,4,38,11,27,0.22,123,0.292,0.415,0.707,4,138,51,19
692225,Kristian Campbell,111,Boston Red Sox,23,67,24,10,0,6,72,29,51,0.223,229,0.319,0.345,0.664,2,263,79,21
692585,Yanquiel Fernández,115,Colorado Rockies,22,52,13,5,0,4,44,8,31,0.225,138,0.265,0.348,0.613,0,147,48,11
693304,Nick Gonzales,134,Pittsburgh Pirates,26,96,39,18,3,5,73,21,99,0.26,381,0.299,0.362,0.661,0,408,138,30
693307,Dillon Dingler,116,Detroit Tigers,26,126,54,21,2,13,110,23,121,0.278,435,0.327,0.425,0.752,0,469,185,57
693409,César Prieto,138,St. Louis Cardinals,26,3,0,0,0,0,5,0,1,0.167,6,0.167,0.167,0.334,0,6,1,0
694192,Jackson Chourio,158,Milwaukee Brewers,21,131,88,35,4,21,121,30,148,0.27,549,0.308,0.463,0.771,21,589,254,78
694203,Denzer Guzman,108,Los Angeles Angels,21,13,4,1,0,2,22,1,8,0.19,42,0.209,0.357,0.566,0,43,15,3
694208,Moisés Ballesteros,112,Chicago Cubs,21,20,12,2,1,2,12,9,17,0.298,57,0.394,0.474,0.868,0,66,27,11
694212,Samuel Basallo,110,Baltimore Orioles,20,31,10,6,0,4,30,6,18,0.165,109,0.229,0.33,0.559,0,118,36,15
694359,Niko Kavadas,108,Los Angeles Angels,26,10,0,0,0,0,10,3,2,0.1,20,0.217,0.1,0.317,0,23,2,0
694362,Blake Dunn,113,Cincinnati Reds,26,30,10,2,0,1,25,8,9,0.15,60,0.32,0.233,0.553,1,75,14,7
694374,Tim Tawa,109,Arizona Diamondbacks,26,74,29,8,0,7,64,20,40,0.201,199,0.274,0.347,0.621,8,225,69,18
694376,Shay Whitcomb,117,Houston Astros,26,20,4,0,0,1,10,0,4,0.125,32,0.125,0.219,0.344,0,32,7,1
694377,Nick Yorke,134,Pittsburgh Pirates,23,22,7,3,0,1,15,3,16,0.232,69,0.264,0.319,0.583,1,72,22,8
694384,Nolan Schanuel,108,Los Angeles Angels,23,132,64,23,1,12,71,59,129,0.264,488,0.353,0.389,0.742,5,564,190,53
